Pair,Strategy,Exit_Model,Trades,WinRate%,Exp(R),PF,NetPips,MaxDD%,AvgDurationBars
GBPUSD,LDN_MO,C_Fixed_1.25R,916,41.05,-0.244,0.65,-3408.14,90.02,9.5
GBPUSD,LDN_MO,D_Fixed_1.50R,910,37.69,-0.239,0.68,-3250.33,89.53,10.6
GBPUSD,LDN_MO,E_Fixed_2.00R,906,32.56,-0.246,0.7,-3262.1,90.35,12.6
GBPUSD,LDN_MO,F_Partial_1R_Trail,927,46.6,-0.282,0.55,-4072.56,93.03,9.6
GBPUSD,LDN_MO,G_ATR_Trailing_1.5x,1165,15.97,-0.341,0.15,-5827.38,98.13,2.6
GBPUSD,LDN_MO,H_Structural_Trailing,913,26.83,-0.226,0.71,-3082.78,88.75,12.7
GBPUSD,LDN_MO,I_Time_Exit_16_Bars,904,34.07,-0.248,0.65,-3360.01,90.18,10.5
GBPUSD,LDN_MO,J_BreakEven_At_0.75R,947,12.14,-0.367,0.45,-4954.39,97.12,9.5
GBPUSD,MS_BOS,A_Fixed_0.75R,2833,51.22,-0.291,0.55,-9752.42,99.98,5.2
GBPUSD,MS_BOS,B_Fixed_1.00R,2579,46.22,-0.268,0.62,-8145.54,99.92,6.4
GBPUSD,MS_BOS,C_Fixed_1.25R,2410,40.75,-0.289,0.63,-8095.97,99.92,7.6
GBPUSD,MS_BOS,D_Fixed_1.50R,2310,37.49,-0.284,0.66,-7670.58,99.89,8.5
GBPUSD,MS_BOS,E_Fixed_2.00R,2149,33.22,-0.274,0.69,-6810.55,99.78,10.2
GBPUSD,MS_BOS,F_Partial_1R_Trail,2293,46.14,-0.326,0.54,-8791.55,99.95,7.7
GBPUSD,MS_BOS,G_ATR_Trailing_1.5x,2665,21.28,-0.443,0.29,-13603.23,100.0,4.4
GBPUSD,MS_BOS,H_Structural_Trailing,2020,28.66,-0.306,0.66,-7127.02,99.84,11.1
GBPUSD,MS_BOS,I_Time_Exit_16_Bars,2043,32.01,-0.294,0.66,-6687.64,99.81,8.7
GBPUSD,MS_BOS,J_BreakEven_At_0.75R,2476,9.85,-0.474,0.32,-13737.28,100.0,7.0
USDJPY,TF_PB,A_Fixed_0.75R,711,53.45,-0.211,0.66,-2070.68,79.26,5.2
USDJPY,TF_PB,B_Fixed_1.00R,695,46.62,-0.219,0.7,-2006.9,80.16,6.2
USDJPY,TF_PB,C_Fixed_1.25R,680,41.47,-0.223,0.73,-1976.95,81.0,7.3
USDJPY,TF_PB,D_Fixed_1.50R,671,36.81,-0.24,0.72,-2129.62,83.17,8.2
USDJPY,TF_PB,E_Fixed_2.00R,663,32.73,-0.201,0.79,-1654.71,78.72,9.4
USDJPY,TF_PB,F_Partial_1R_Trail,690,47.68,-0.259,0.62,-2549.88,84.65,7.4
USDJPY,TF_PB,G_ATR_Trailing_1.5x,778,23.91,-0.368,0.3,-4223.11,94.55,4.3
USDJPY,TF_PB,H_Structural_Trailing,660,26.06,-0.197,0.81,-1478.63,78.18,9.7
USDJPY,TF_PB,I_Time_Exit_16_Bars,670,32.84,-0.182,0.79,-1569.26,76.32,8.6
USDJPY,TF_PB,J_BreakEven_At_0.75R,702,10.68,-0.342,0.45,-3448.38,92.0,6.7
USDJPY,VE_BO,A_Fixed_0.75R,384,54.43,-0.188,0.66,-1078.47,51.97,3.4
USDJPY,VE_BO,B_Fixed_1.00R,364,48.9,-0.165,0.73,-896.59,45.98,4.1
USDJPY,VE_BO,C_Fixed_1.25R,349,44.41,-0.148,0.81,-669.44,41.12,4.8
USDJPY,VE_BO,D_Fixed_1.50R,341,39.3,-0.168,0.78,-792.53,46.94,5.6
USDJPY,VE_BO,E_Fixed_2.00R,329,34.35,-0.125,0.86,-522.18,37.89,6.4
USDJPY,VE_BO,F_Partial_1R_Trail,348,49.43,-0.223,0.65,-1113.5,54.33,5.3
USDJPY,VE_BO,G_ATR_Trailing_1.5x,348,25.86,-0.358,0.43,-1776.19,72.62,4.2
USDJPY,VE_BO,H_Structural_Trailing,320,30.0,-0.12,0.86,-549.17,37.92,7.8
USDJPY,VE_BO,I_Time_Exit_16_Bars,322,33.85,-0.13,0.82,-674.29,37.55,7.0
USDJPY,VE_BO,J_BreakEven_At_0.75R,369,8.67,-0.377,0.4,-1923.71,75.36,4.5
USDJPY,MR_RG,A_Fixed_0.75R,113,49.56,-0.38,0.46,-369.75,37.55,2.8
USDJPY,MR_RG,B_Fixed_1.00R,113,44.25,-0.368,0.51,-373.2,36.37,3.4
USDJPY,MR_RG,C_Fixed_1.25R,111,38.74,-0.384,0.53,-386.6,36.74,3.8
USDJPY,MR_RG,D_Fixed_1.50R,111,36.94,-0.336,0.63,-310.1,33.81,4.0
USDJPY,MR_RG,E_Fixed_2.00R,111,26.13,-0.486,0.49,-500.61,42.97,5.0
USDJPY,MR_RG,F_Partial_1R_Trail,113,46.9,-0.438,0.41,-424.64,40.12,3.9
USDJPY,MR_RG,G_ATR_Trailing_1.5x,112,25.89,-0.539,0.25,-540.51,45.65,3.9
USDJPY,MR_RG,H_Structural_Trailing,122,10.66,-0.529,0.32,-557.46,48.63,3.6
USDJPY,MR_RG,I_Time_Exit_16_Bars,111,19.82,-0.592,0.39,-641.77,49.59,5.7
USDJPY,MR_RG,J_BreakEven_At_0.75R,113,2.65,-0.631,0.11,-622.84,51.22,3.3
USDJPY,LDN_MO,A_Fixed_0.75R,583,57.46,-0.072,0.9,-649.79,42.15,10.7
USDJPY,LDN_MO,B_Fixed_1.00R,571,50.61,-0.079,0.91,-698.27,46.0,13.0
USDJPY,LDN_MO,C_Fixed_1.25R,563,45.29,-0.098,0.91,-716.0,52.88,15.3
USDJPY,LDN_MO,D_Fixed_1.50R,563,42.27,-0.099,0.91,-774.6,54.43,16.8
USDJPY,LDN_MO,E_Fixed_2.00R,561,39.22,-0.081,0.97,-284.14,51.08,18.7
USDJPY,LDN_MO,F_Partial_1R_Trail,571,50.79,-0.118,0.84,-1182.83,55.49,15.2
USDJPY,LDN_MO,G_ATR_Trailing_1.5x,740,22.3,-0.192,0.34,-3190.76,75.99,3.5
USDJPY,LDN_MO,H_Structural_Trailing,564,32.09,-0.09,0.92,-679.35,51.04,18.0
USDJPY,LDN_MO,I_Time_Exit_16_Bars,561,41.18,-0.11,0.84,-1096.87,52.26,13.0
USDJPY,LDN_MO,J_BreakEven_At_0.75R,583,19.55,-0.19,0.68,-2162.76,68.53,15.3
USDJPY,MS_BOS,A_Fixed_0.75R,2330,53.43,-0.185,0.72,-6199.17,98.81,6.0
USDJPY,MS_BOS,B_Fixed_1.00R,2142,47.48,-0.179,0.77,-5160.28,98.08,7.6
USDJPY,MS_BOS,C_Fixed_1.25R,2012,41.9,-0.198,0.77,-5259.8,98.45,8.9
USDJPY,MS_BOS,D_Fixed_1.50R,1911,38.04,-0.209,0.76,-5539.97,98.44,10.1
USDJPY,MS_BOS,E_Fixed_2.00R,1790,33.24,-0.205,0.78,-5039.46,97.99,11.6
USDJPY,MS_BOS,F_Partial_1R_Trail,1887,47.91,-0.228,0.68,-6141.23,98.8,9.2
USDJPY,MS_BOS,G_ATR_Trailing_1.5x,2148,24.81,-0.332,0.41,-10929.37,99.93,5.0
USDJPY,MS_BOS,H_Structural_Trailing,1709,28.67,-0.196,0.8,-4318.52,97.32,12.3
USDJPY,MS_BOS,I_Time_Exit_16_Bars,1733,35.03,-0.166,0.82,-3625.91,95.31,9.6
USDJPY,MS_BOS,J_BreakEven_At_0.75R,2000,11.3,-0.34,0.46,-10363.06,99.9,8.3
