Pair,Strategy,Factor,Condition,Trades,WinRate%,Exp(R),PF,95%_CI_Lower,95%_CI_Upper,P(Exp>0)%,Stability_2023_2025%,MaxDD%
EURUSD,LDN_MO,volatility_transition,LOW_TO_LOW_VOL,624,32.85,-0.236,0.7,-0.338,-0.133,0.0,0.0,78.12
EURUSD,LDN_MO,trend_transition,RANGE_TO_TREND,42,33.33,-0.237,0.9,-0.638,0.199,13.7,66.7,11.5
EURUSD,TF_PB,volatility_transition,STEADY_VOL,268,31.72,-0.239,0.72,-0.402,-0.069,0.2,0.0,48.83
USDJPY,TF_PB,pre_session_bias,BEARISH_DRIFT,106,29.25,-0.24,0.6,-0.486,0.019,3.4,0.0,27.85
EURUSD,MS_BOS,volatility_transition,STEADY_VOL,755,34.17,-0.241,0.68,-0.333,-0.145,0.0,0.0,86.17
EURUSD,LDN_MO,trend_transition,TREND_TO_RANGE,63,33.33,-0.243,0.66,-0.547,0.082,7.0,33.3,17.51
EURUSD,VE_BO,asian_range_category,NORMAL (25-45p),202,30.69,-0.249,0.69,-0.447,-0.039,1.0,0.0,49.24
GBPUSD,VE_BO,asian_range_category,NORMAL (25-45p),337,32.05,-0.25,0.75,-0.405,-0.09,0.1,0.0,59.63
GBPUSD,LDN_MO,volatility_transition,LOW_TO_LOW_VOL,655,34.2,-0.254,0.68,-0.354,-0.15,0.0,0.0,82.56
USDJPY,MS_BOS,trend_transition,STEADY_TREND,1192,32.05,-0.258,0.73,-0.33,-0.181,0.0,0.0,96.23
GBPUSD,MS_BOS,asian_range_category,NORMAL (25-45p),964,34.13,-0.259,0.74,-0.344,-0.174,0.0,0.0,92.73
EURUSD,VE_BO,trend_transition,STEADY_TREND,553,31.28,-0.262,0.72,-0.383,-0.138,0.0,0.0,78.94
USDJPY,VE_BO,volatility_transition,STEADY_VOL,74,28.38,-0.265,0.5,-0.571,0.074,5.7,33.3,19.64
EURUSD,MS_BOS,trend_transition,STEADY_TREND,1458,33.74,-0.265,0.69,-0.333,-0.196,0.0,0.0,98.46
GBPUSD,TF_PB,asian_range_category,TIGHT (<25p),297,35.69,-0.269,0.7,-0.433,-0.11,0.0,0.0,58.77
USDJPY,MR_RG,pre_session_bias,FLAT,37,40.54,-0.269,0.74,-0.702,0.186,12.5,33.3,11.67
GBPUSD,MS_BOS,trend_transition,STEADY_TREND,1514,34.21,-0.27,0.7,-0.338,-0.204,0.0,0.0,98.57
USDJPY,TF_PB,volatility_transition,STEADY_VOL,305,30.16,-0.272,0.7,-0.416,-0.118,0.0,0.0,61.71
USDJPY,LDN_MO,pre_session_bias,FLAT,157,33.76,-0.283,0.57,-0.461,-0.098,0.1,33.3,41.92
USDJPY,TF_PB,trend_transition,STEADY_TREND,491,30.96,-0.283,0.7,-0.397,-0.16,0.0,0.0,77.63
GBPUSD,LDN_MO,asian_range_category,EXPANDED (>45p),64,37.5,-0.285,0.54,-0.549,-0.014,1.8,33.3,17.96
GBPUSD,LDN_MO,asian_range_category,NORMAL (25-45p),390,32.05,-0.285,0.67,-0.412,-0.155,0.0,0.0,68.56
USDJPY,TF_PB,volatility_transition,EXPANSION_TO_CONTRACTION,29,31.03,-0.294,0.61,-0.735,0.19,11.2,0.0,8.11
EURUSD,MS_BOS,asian_range_category,TIGHT (<25p),1341,33.48,-0.295,0.65,-0.364,-0.225,0.0,0.0,98.3
GBPUSD,MS_BOS,asian_range_category,TIGHT (<25p),951,34.28,-0.295,0.65,-0.379,-0.209,0.0,0.0,94.41
GBPUSD,MS_BOS,volatility_transition,LOW_TO_HIGH_VOL,77,31.17,-0.296,0.67,-0.592,0.007,2.8,0.0,24.74
EURUSD,LDN_MO,asian_range_category,EXPANDED (>45p),28,32.14,-0.296,0.56,-0.634,0.078,5.5,0.0,9.22
USDJPY,MS_BOS,volatility_transition,LOW_TO_LOW_VOL,587,31.01,-0.297,0.72,-0.405,-0.183,0.0,0.0,85.43
USDJPY,TF_PB,asian_range_category,NORMAL (25-45p),203,31.03,-0.298,0.65,-0.478,-0.104,0.0,0.0,49.9
USDJPY,VE_BO,asian_range_category,NORMAL (25-45p),119,28.57,-0.299,0.68,-0.545,-0.033,1.4,0.0,35.43
EURUSD,VE_BO,asian_range_category,TIGHT (<25p),491,30.55,-0.303,0.68,-0.431,-0.17,0.0,0.0,78.58
EURUSD,TF_PB,volatility_transition,LOW_TO_HIGH_VOL,28,28.57,-0.307,0.57,-0.75,0.191,11.2,0.0,12.91
GBPUSD,TF_PB,asian_range_category,NORMAL (25-45p),306,32.35,-0.308,0.75,-0.47,-0.148,0.0,0.0,64.13
