trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata
49,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-02-05 11:30:00+00:00,2024-02-05 11:45:00+00:00,1.26042,2024-02-05 12:00:00+00:00,1.2593289285714286,TP,1.2618110714285715,1.2592289285714287,2,12.910714285714647,12.91071428571433,1.2,0.8,0.7,10.210714285714552,0.7908713692333473,WEAK_BEAR__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.56761771686537}"
50,GBPUSD,RANGE_TO_TREND_TFPB_V1,-1,2024-02-06 05:30:00+00:00,2024-02-06 05:45:00+00:00,1.25393,2024-02-06 06:15:00+00:00,1.2547478571428572,SL,1.2546478571428572,1.253392142857143,3,6.2785714285709275,-6.178571428572255,1.2,0.8,0.7,-8.878571428572034,-1.414106939479191,WEAK_BEAR__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 36.794168945315015}"
51,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-02-08 02:00:00+00:00,2024-02-08 02:15:00+00:00,1.2627599999999999,2024-02-08 03:00:00+00:00,1.263240357142857,TP,1.2619796428571428,1.263340357142857,4,6.803571428571511,6.803571428570798,1.2,0.8,0.7,4.103571428571018,0.6031496062104931,WEAK_BULL__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 14.993961547303952}"
52,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-02-28 00:30:00+00:00,2024-02-28 00:45:00+00:00,1.2686700000000002,2024-02-28 02:00:00+00:00,1.267719642857143,SL,1.2678196428571429,1.269120357142857,6,6.503571428570974,-6.3035714285719635,3.6,0.8,0.7,-10.203571428572943,-1.5689181765850226,WEAK_BULL__CONTRACTION,ASIAN,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 6.629696969230661}"
53,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-03-01 23:15:00+00:00,2024-03-01 23:30:00+00:00,1.265545,2024-03-01 23:45:00+00:00,1.264561785714286,SL,1.264661785714286,1.2661982142857142,2,7.682142857142271,-7.782142857140073,1.3,0.8,0.7,-10.53214285714018,-1.3709902369203153,WEAK_BULL__CONTRACTION,NY_LATE,2024,"{'transition_quality': 'MODERATE', 'adx_delta': 8.353194893974582}"
54,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-03-07 15:00:00+00:00,2024-03-07 15:15:00+00:00,1.27531,2024-03-07 15:30:00+00:00,1.276070357142857,TP,1.274269642857143,1.276170357142857,2,9.503571428571595,9.603571428571378,1.2,0.8,0.7,6.903571428571598,0.7264186395327382,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,"{'transition_quality': 'STRONG', 'adx_delta': 17.891690595637286}"
55,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-04-04 09:30:00+00:00,2024-04-04 09:45:00+00:00,1.26613,2024-04-04 09:45:00+00:00,1.265372857142857,SL,1.265472857142857,1.266587142857143,1,5.571428571428433,-5.571428571429227,1.2,0.8,0.7,-8.271428571429006,-1.4846153843490302,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 10.157018746323077}"
56,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-04-04 10:00:00+00:00,2024-04-04 10:15:00+00:00,1.26593,2024-04-04 10:30:00+00:00,1.266435,TP,1.265125,1.266535,2,7.050000000000033,7.049999999999557,1.2,0.8,0.7,4.349999999999777,0.6170212765081894,STRONG_BULL__LOW_VOL,LONDON,2024,"{'transition_quality': 'STRONG', 'adx_delta': 12.703763472067855}"
57,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-05-13 23:45:00+00:00,2024-05-14 00:00:00+00:00,1.2556399999999999,2024-05-14 00:00:00+00:00,1.2552357142857145,SL,1.2553557142857144,1.2563842857142857,1,5.142857142857765,-1.642857142856169,1.6,0.8,0.7,-4.742857142854128,-0.9222222220422035,STRONG_BULL__CONTRACTION,ASIAN,2024,"{'transition_quality': 'STRONG', 'adx_delta': 11.38481583628242}"
58,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-05-20 18:45:00+00:00,2024-05-20 19:00:00+00:00,1.27057,2024-05-20 19:15:00+00:00,1.2712832142857144,TP,1.2695767857142857,1.2713832142857144,2,9.032142857142789,9.132142857144476,1.2,0.8,0.7,6.432142857144696,0.712139185370158,STRONG_BULL__NORMAL_VOL,NY_LATE,2024,"{'transition_quality': 'STRONG', 'adx_delta': 12.206196506623458}"
59,GBPUSD,RANGE_TO_TREND_TFPB_V1,1,2024-05-21 16:30:00+00:00,2024-05-21 16:45:00+00:00,1.27144,2024-05-21 17:45:00+00:00,1.2722867857142857,TP,1.2702932142857142,1.2723867857142857,5,10.467857142856728,10.467857142857362,1.2,0.8,0.7,7.767857142857582,0.7420675536651076,WEAK_BULL__LOW_VOL,NY_LATE,2024,"{'transition_quality': 'STRONG', 'adx_delta': 13.599455125831971}"
