timestamp,symbol,direction,is_approved,risk_requested_pct,risk_allowed_pct,rejection_reason,current_balance,current_equity,daily_loss_budget_usd,max_dd_budget_usd,distance_to_target_usd,correlated_usd_exposure_pct
2024-10-01 10:15:00+00:00,GBPUSD,-1,True,0.35,0.35,APPROVED,102102.75,102102.75,5708.61,11602.75,5897.25,0.35
2024-10-09 14:15:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,102748.93,102748.93,5137.45,12248.93,5251.07,0.35
2024-10-11 15:45:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,103374.39,103374.39,5168.72,12874.39,4625.61,0.35
2024-10-14 10:30:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,102957.18,102957.18,5147.86,12457.18,5042.82,0.35
2024-10-16 07:15:00+00:00,GBPUSD,1,True,0.35,0.35,APPROVED,103571.19,103571.19,5178.56,13071.19,4428.81,0.35
2024-10-25 12:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,103057.54,103057.54,5152.88,12557.54,4942.46,0.35
2024-10-31 13:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,102620.53,102620.53,5131.03,12120.53,5379.47,0.35
2024-11-06 15:30:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,103262.23,103262.23,5163.11,12762.23,4737.77,0.35
2024-12-05 07:15:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,102868.61,102868.61,5143.43,12368.61,5131.39,0.35
2024-12-06 11:00:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,103480.47,103480.47,5174.02,12980.47,4519.53,0.35
2024-12-10 07:15:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,103044.09,103044.09,5152.2,12544.09,4955.91,0.35
2024-12-24 14:45:00+00:00,USDJPY,1,True,0.35,0.35,APPROVED,102640.18,102640.18,5132.01,12140.18,5359.82,0.35
2025-01-09 09:30:00+00:00,EURUSD,-1,True,0.35,0.35,APPROVED,103242.87,103242.87,5162.14,12742.87,4757.13,0.35
2025-01-14 11:45:00+00:00,EURUSD,1,True,0.35,0.35,APPROVED,103889.13,103889.13,5194.46,13389.13,4110.87,0.35
