trade_id,symbol,strategy_name,direction,signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,holding_bars,risk_pips,pnl_gross_pips,spread_cost_pips,slippage_cost_pips,commission_pips,pnl_net_pips,pnl_r_multiple,regime,session,year,metadata,trend_transition
176,GBPUSD,TF_PB,1,2023-12-27 09:00:00+00:00,2023-12-27 09:15:00+00:00,1.27351,2023-12-27 09:30:00+00:00,1.2727571428571427,SL,1.2728571428571427,1.2745157142857144,2,5.528571428571961,-5.528571428572437,1.2,0.8,0.7,-8.228571428572216,-1.4883720927540403,STRONG_BULL__CONTRACTION,LONDON,2023,{'atr': 0.0003685714285714641},RANGE_TO_TREND
195,GBPUSD,TF_PB,-1,2024-02-05 11:30:00+00:00,2024-02-05 11:45:00+00:00,1.26042,2024-02-05 13:30:00+00:00,1.2580378571428572,TP,1.2618110714285715,1.2579378571428572,8,12.910714285714647,25.82142857142866,1.2,0.8,0.7,23.121428571428883,1.7908713691558678,WEAK_BEAR__LOW_VOL,LONDON,2024,{'atr': 0.0008607142857143099},RANGE_TO_TREND
214,GBPUSD,TF_PB,1,2024-03-07 15:00:00+00:00,2024-03-07 15:15:00+00:00,1.27531,2024-03-07 16:45:00+00:00,1.2770207142857144,TP,1.274269642857143,1.2771207142857144,7,9.503571428571595,19.10714285714432,1.2,0.8,0.7,16.407142857144542,1.7264186394276566,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,{'atr': 0.0006335714285714397},RANGE_TO_TREND
219,GBPUSD,TF_PB,-1,2024-03-13 11:15:00+00:00,2024-03-13 11:30:00+00:00,1.27842,2024-03-13 13:15:00+00:00,1.2796014285714283,SL,1.2795014285714283,1.2765571428571427,8,9.814285714285536,-9.814285714284665,1.2,0.8,0.7,-12.514285714284444,-1.275109170175647,WEAK_BEAR__LOW_VOL,LONDON,2024,{'atr': 0.0006542857142857025},RANGE_TO_TREND
228,GBPUSD,TF_PB,1,2024-04-04 10:00:00+00:00,2024-04-04 10:15:00+00:00,1.26593,2024-04-04 14:45:00+00:00,1.265025,SL,1.265125,1.26724,19,7.050000000000033,-7.049999999999557,1.2,0.8,0.7,-9.749999999999336,-1.3829787232079875,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.00047000000000000215},RANGE_TO_TREND
231,GBPUSD,TF_PB,1,2024-04-10 09:00:00+00:00,2024-04-10 09:15:00+00:00,1.26772,2024-04-10 10:00:00+00:00,1.2683449999999998,TP,1.2672075,1.2684449999999998,4,4.124999999999427,8.249999999998536,1.2,0.8,0.7,5.549999999998756,1.34545454512826,STRONG_BULL__CONTRACTION,LONDON,2024,{'atr': 0.0002749999999999618},RANGE_TO_TREND
263,GBPUSD,TF_PB,-1,2024-06-17 10:30:00+00:00,2024-06-17 10:45:00+00:00,1.26631,2024-06-17 11:00:00+00:00,1.267425,SL,1.267325,1.26458,2,9.150000000000228,-9.149999999999991,1.2,0.8,0.7,-11.84999999999977,-1.2950819670715183,STRONG_BEAR__NORMAL_VOL,LONDON,2024,{'atr': 0.0006100000000000153},RANGE_TO_TREND
279,GBPUSD,TF_PB,1,2024-07-08 14:00:00+00:00,2024-07-08 14:15:00+00:00,1.28219,2024-07-08 15:45:00+00:00,1.2838614285714287,TP,1.2811392857142858,1.2839614285714287,7,9.407142857143343,18.71428571428746,1.2,0.8,0.7,16.01428571428768,1.7023538342914426,STRONG_BULL__NORMAL_VOL,OVERLAP,2024,{'atr': 0.0006271428571428896},RANGE_TO_TREND
312,GBPUSD,TF_PB,1,2024-09-05 13:15:00+00:00,2024-09-05 13:30:00+00:00,1.31598,2024-09-05 21:00:00+00:00,1.3183807142857142,TP,1.314594642857143,1.3184807142857142,31,12.95357142857112,26.007142857142895,1.2,0.8,0.7,23.307142857143116,1.799283153983024,WEAK_BULL__NORMAL_VOL,OVERLAP,2024,{'atr': 0.000863571428571408},RANGE_TO_TREND
321,GBPUSD,TF_PB,-1,2024-10-01 09:45:00+00:00,2024-10-01 10:00:00+00:00,1.33668,2024-10-01 10:00:00+00:00,1.3346628571428572,TP,1.3378285714285716,1.3345628571428572,1,10.885714285714704,22.171428571429175,1.2,0.8,0.7,19.471428571429396,1.7887139105968444,STRONG_BEAR__LOW_VOL,LONDON,2024,{'atr': 0.0007257142857143137},RANGE_TO_TREND
322,GBPUSD,TF_PB,-1,2024-10-01 10:00:00+00:00,2024-10-01 10:15:00+00:00,1.3342,2024-10-01 13:00:00+00:00,1.3315842857142857,TP,1.3357078571428573,1.3314842857142857,12,14.078571428571829,28.157142857143658,1.2,0.8,0.7,25.45714285714388,1.8082191779537753,STRONG_BEAR__EXPANSION,LONDON,2024,{'atr': 0.0009385714285714553},RANGE_TO_TREND
331,GBPUSD,TF_PB,1,2024-10-16 07:00:00+00:00,2024-10-16 07:15:00+00:00,1.30733,2024-10-16 09:00:00+00:00,1.3065164285714286,SL,1.3066164285714286,1.3084871428571427,8,6.2357142857142165,-6.135714285715466,1.2,0.8,0.7,-8.835714285715245,-1.4169530352826742,STRONG_BULL__LOW_VOL,LONDON,2024,{'atr': 0.00041571428571428114},RANGE_TO_TREND
387,GBPUSD,TF_PB,1,2025-02-05 09:00:00+00:00,2025-02-05 09:15:00+00:00,1.24864,2025-02-05 09:15:00+00:00,1.2503942857142856,TP,1.2475178571428571,1.2504942857142856,1,9.921428571428144,19.542857142855752,1.2,0.8,0.7,16.842857142855973,1.697624189893643,STRONG_BULL__LOW_VOL,LONDON,2025,{'atr': 0.000661428571428543},RANGE_TO_TREND
394,GBPUSD,TF_PB,1,2025-02-18 11:00:00+00:00,2025-02-18 11:15:00+00:00,1.2611,2025-02-18 12:15:00+00:00,1.2595200000000002,SL,1.2596200000000002,1.26394,5,14.39999999999989,-13.799999999999368,1.2,0.8,0.7,-16.499999999999147,-1.1458333332537112,STRONG_BULL__NORMAL_VOL,LONDON,2025,{'atr': 0.0009599999999999927},RANGE_TO_TREND
427,GBPUSD,TF_PB,1,2025-04-15 14:45:00+00:00,2025-04-15 15:00:00+00:00,1.32322,2025-04-15 17:00:00+00:00,1.3211442857142857,SL,1.3212742857142856,1.3266614285714284,9,17.95714285714274,-18.15714285714476,1.8,0.8,0.7,-21.457142857144028,-1.1949085122644776,WEAK_BULL__LOW_VOL,OVERLAP,2025,{'atr': 0.001197142857142849},RANGE_TO_TREND
471,GBPUSD,TF_PB,1,2025-07-01 10:00:00+00:00,2025-07-01 10:15:00+00:00,1.37531,2025-07-01 11:45:00+00:00,1.3775400000000002,TP,1.37389,1.3776700000000002,7,12.59999999999999,24.900000000001032,1.8,0.8,0.7,21.600000000001764,1.7142857141498011,WEAK_BULL__LOW_VOL,LONDON,2025,{'atr': 0.0008399999999999995},RANGE_TO_TREND
480,GBPUSD,TF_PB,-1,2025-07-28 10:15:00+00:00,2025-07-28 10:30:00+00:00,1.34211,2025-07-28 15:15:00+00:00,1.3435374999999998,SL,1.3434074999999999,1.3398750000000001,20,11.774999999999107,-11.67499999999988,1.8,0.8,0.7,-14.974999999999149,-1.2717622079599595,STRONG_BEAR__NORMAL_VOL,LONDON,2025,{'atr': 0.0007849999999999405},RANGE_TO_TREND
494,GBPUSD,TF_PB,-1,2025-08-19 07:00:00+00:00,2025-08-19 07:15:00+00:00,1.34969,2025-08-19 08:00:00+00:00,1.3507217857142857,SL,1.3505917857142857,1.3483064285714284,4,7.617857142857565,-7.71785714285711,1.8,0.8,0.7,-11.017857142856379,-1.4463197372689385,STRONG_BEAR__NORMAL_VOL,LONDON,2025,{'atr': 0.000507857142857171},RANGE_TO_TREND
507,GBPUSD,TF_PB,1,2025-09-08 11:45:00+00:00,2025-09-08 12:00:00+00:00,1.35136,2025-09-08 15:30:00+00:00,1.3538985714285712,TP,1.3498907142857142,1.3539985714285712,15,13.692857142856681,27.38571428571257,1.2,0.8,0.7,24.68571428571279,1.8028169012767412,STRONG_BULL__NORMAL_VOL,OVERLAP,2025,{'atr': 0.0009128571428571121},RANGE_TO_TREND
525,GBPUSD,TF_PB,1,2025-10-07 07:00:00+00:00,2025-10-07 07:15:00+00:00,1.34795,2025-10-07 07:45:00+00:00,1.3470717857142858,SL,1.3471717857142858,1.3492064285714287,3,6.782142857143275,-6.782142857142404,1.2,0.8,0.7,-9.482142857142183,-1.398104265196513,WEAK_BULL__LOW_VOL,LONDON,2025,{'atr': 0.00045214285714288504},RANGE_TO_TREND
579,GBPUSD,TF_PB,-1,2026-01-09 10:00:00+00:00,2026-01-09 10:15:00+00:00,1.3424500000000001,2026-01-09 11:45:00+00:00,1.3408792857142857,TP,1.343450357142857,1.3407792857142857,7,8.903571428571233,17.70714285714403,1.2,0.8,0.7,15.007142857144252,1.6855194542834084,STRONG_BEAR__NORMAL_VOL,LONDON,2026,{'atr': 0.0005935714285714155},RANGE_TO_TREND
584,GBPUSD,TF_PB,-1,2026-01-21 13:45:00+00:00,2026-01-21 14:00:00+00:00,1.34083,2026-01-21 14:30:00+00:00,1.3423017857142856,SL,1.3422017857142856,1.3383864285714286,3,12.717857142856955,-12.717857142856559,1.2,0.8,0.7,-15.417857142856338,-1.2122999156586336,STRONG_BEAR__NORMAL_VOL,OVERLAP,2026,{'atr': 0.0008478571428571304},RANGE_TO_TREND
617,GBPUSD,TF_PB,-1,2026-03-12 15:30:00+00:00,2026-03-12 15:45:00+00:00,1.33766,2026-03-12 16:30:00+00:00,1.3354407142857143,TP,1.338969642857143,1.3353407142857143,4,12.096428571428357,24.19285714285735,1.2,0.8,0.7,21.49285714285757,1.7767936225281147,STRONG_BEAR__LOW_VOL,OVERLAP,2026,{'atr': 0.0008064285714285571},RANGE_TO_TREND
625,GBPUSD,TF_PB,-1,2026-03-23 07:00:00+00:00,2026-03-23 07:15:00+00:00,1.33212,2026-03-23 08:00:00+00:00,1.3298857142857143,TP,1.3334371428571428,1.3297857142857143,4,12.171428571428134,24.34285714285611,1.2,0.8,0.7,21.642857142856332,1.7781690139384108,STRONG_BEAR__CONTRACTION,LONDON,2026,{'atr': 0.0008114285714285423},RANGE_TO_TREND
633,GBPUSD,TF_PB,1,2026-04-15 07:00:00+00:00,2026-04-15 07:15:00+00:00,1.35677,2026-04-15 09:45:00+00:00,1.3558157142857143,SL,1.3559157142857143,1.3581785714285717,11,7.542857142858025,-7.542857142857073,1.2,0.8,0.7,-10.242857142856852,-1.3579545452743162,WEAK_BULL__LOW_VOL,LONDON,2026,{'atr': 0.0005028571428572017},RANGE_TO_TREND
647,GBPUSD,TF_PB,-1,2026-05-13 11:45:00+00:00,2026-05-13 12:00:00+00:00,1.3522800000000001,2026-05-13 13:00:00+00:00,1.3497564285714287,TP,1.3537417857142857,1.3496564285714288,5,13.617857142856664,27.235714285713808,1.2,0.8,0.7,24.53571428571403,1.8017309204027498,WEAK_BEAR__NORMAL_VOL,OVERLAP,2026,{'atr': 0.0009078571428571111},RANGE_TO_TREND
648,GBPUSD,TF_PB,-1,2026-05-14 15:15:00+00:00,2026-05-14 15:30:00+00:00,1.3511900000000001,2026-05-14 17:45:00+00:00,1.3486364285714287,TP,1.3526667857142858,1.3485364285714287,10,13.767857142857173,27.535714285713553,1.2,0.8,0.7,24.835714285713774,1.8038910504525947,STRONG_BEAR__LOW_VOL,OVERLAP,2026,{'atr': 0.0009178571428571448},RANGE_TO_TREND
657,GBPUSD,TF_PB,1,2026-06-10 08:00:00+00:00,2026-06-10 08:15:00+00:00,1.33832,2026-06-10 12:45:00+00:00,1.3396221428571429,TP,1.3374689285714285,1.3397221428571429,19,7.5107142857144815,15.021428571428963,1.2,0.8,0.7,12.321428571429184,1.6405135518500893,STRONG_BULL__LOW_VOL,LONDON,2026,{'atr': 0.0005007142857142988},RANGE_TO_TREND
674,GBPUSD,TF_PB,-1,2026-07-22 15:30:00+00:00,2026-07-22 15:45:00+00:00,1.33669,2026-07-22 16:15:00+00:00,1.3377492857142856,SL,1.3376492857142857,1.3350714285714285,3,8.592857142856813,-8.59285714285729,1.2,0.8,0.7,-11.29285714285707,-1.3142144636874982,WEAK_BEAR__LOW_VOL,OVERLAP,2026,{'atr': 0.000572857142857121},RANGE_TO_TREND
699,GBPUSD,TF_PB,-1,2026-08-28 14:30:00+00:00,2026-08-28 14:45:00+00:00,1.35851,2026-08-28 16:45:00+00:00,1.357424285714286,TP,1.3592528571428573,1.357324285714286,9,6.428571428570958,12.857142857141124,1.2,0.8,0.7,10.157142857141345,1.5799999997541025,WEAK_BEAR__NORMAL_VOL,OVERLAP,2026,{'atr': 0.0004285714285713972},RANGE_TO_TREND
