Pair,EntryTime,Direction,MFE_Pips,MFE_R,MAE_Pips,MAE_R,BarsToMFE,BarsToMAE,BarsTo_0_50R,BarsTo_0_75R,BarsTo_1_00R,FinalPnL_R,FinalPnL_NetPips,Year
EURUSD,2024-02-12 23:15:00+00:00,-1,8.6,1.363,2.0,0.317,3,0,3.0,3.0,3.0,0.636,4.01,2024
EURUSD,2024-02-14 10:00:00+00:00,-1,8.0,1.23,1.4,0.215,0,0,0.0,0.0,0.0,0.708,4.6,2024
EURUSD,2024-02-27 02:30:00+00:00,1,0.0,0.0,4.4,1.177,0,2,,,,-1.481,-5.54,2024
EURUSD,2024-02-29 16:45:00+00:00,1,11.9,0.977,0.6,0.049,1,0,0.0,1.0,,0.844,10.28,2024
EURUSD,2024-03-04 09:45:00+00:00,1,4.3,0.94,0.9,0.197,0,0,0.0,0.0,,0.585,2.68,2024
EURUSD,2024-03-04 11:15:00+00:00,1,7.7,0.972,4.8,0.606,5,0,1.0,5.0,,0.76,6.02,2024
EURUSD,2024-03-12 00:15:00+00:00,-1,0.8,0.177,5.5,1.214,2,5,,,,-1.419,-6.43,2024
EURUSD,2024-03-22 02:00:00+00:00,-1,0.0,0.0,6.1,2.085,0,1,,,,-1.65,-4.82,2024
EURUSD,2024-03-26 04:00:00+00:00,1,3.2,0.93,1.2,0.349,2,0,1.0,1.0,,0.448,1.54,2024
EURUSD,2024-04-18 08:30:00+00:00,1,7.7,1.5,0.7,0.136,2,0,0.0,1.0,2.0,0.63,3.23,2024
EURUSD,2024-04-25 01:00:00+00:00,1,8.05,1.349,2.05,0.344,8,0,7.0,8.0,8.0,0.891,5.32,2024
EURUSD,2024-04-29 21:30:00+00:00,1,4.2,0.6,10.9,1.558,1,22,1.0,,,-1.272,-8.9,2024
EURUSD,2024-05-06 09:45:00+00:00,1,4.7,1.083,3.8,0.876,2,0,2.0,2.0,2.0,0.585,2.54,2024
EURUSD,2024-05-14 15:45:00+00:00,1,16.3,1.666,5.5,0.562,1,0,0.0,1.0,1.0,0.836,8.18,2024
EURUSD,2024-05-30 09:45:00+00:00,-1,2.6,0.574,8.1,1.787,0,1,0.0,,,-1.397,-6.33,2024
EURUSD,2024-06-07 07:15:00+00:00,1,1.5,0.406,4.4,1.19,0,5,,,,-1.514,-5.6,2024
EURUSD,2024-06-19 16:15:00+00:00,1,3.7,0.427,10.9,1.258,5,31,,,,-1.242,-10.77,2024
EURUSD,2024-06-21 03:15:00+00:00,-1,0.3,0.091,4.0,1.208,0,1,,,,-1.574,-5.21,2024
EURUSD,2024-06-27 01:45:00+00:00,-1,2.2,0.563,5.7,1.458,8,10,1.0,,,-1.511,-5.91,2024
EURUSD,2024-07-09 18:15:00+00:00,-1,0.0,0.0,10.7,1.082,0,3,,,,-1.172,-11.59,2024
EURUSD,2024-07-10 17:15:00+00:00,1,6.0,1.037,6.2,1.072,22,16,0.0,1.0,22.0,0.672,3.89,2024
EURUSD,2024-08-07 19:15:00+00:00,1,0.3,0.033,11.9,1.302,0,19,,,,-1.252,-11.44,2024
EURUSD,2024-09-05 10:15:00+00:00,1,3.8,0.842,5.6,1.241,0,0,0.0,0.0,,-1.421,-6.41,2024
EURUSD,2024-09-05 10:45:00+00:00,1,10.7,1.863,1.9,0.331,1,0,0.0,1.0,1.0,0.634,3.64,2024
EURUSD,2024-09-06 15:45:00+00:00,1,1.1,0.074,17.0,1.15,0,0,,,,-1.129,-16.69,2024
EURUSD,2024-10-03 02:00:00+00:00,-1,7.7,1.348,2.1,0.368,5,3,5.0,5.0,5.0,0.685,3.91,2024
EURUSD,2024-10-08 00:00:00+00:00,-1,14.75,2.892,1.45,0.284,0,0,0.0,0.0,0.0,0.373,1.9,2024
EURUSD,2024-10-09 03:00:00+00:00,-1,4.6,0.902,3.9,0.765,5,3,4.0,5.0,,0.627,3.2,2024
EURUSD,2024-10-09 14:15:00+00:00,-1,9.4,1.29,3.4,0.467,2,0,1.0,2.0,2.0,0.739,5.39,2024
EURUSD,2024-10-14 22:45:00+00:00,-1,0.0,0.0,6.9,1.148,0,2,,,,-1.333,-8.01,2024
EURUSD,2024-10-21 00:30:00+00:00,1,7.3,1.588,1.8,0.392,2,0,0.0,2.0,2.0,0.782,3.6,2024
EURUSD,2024-10-25 12:15:00+00:00,1,12.8,1.593,5.0,0.622,13,13,13.0,13.0,13.0,0.788,6.34,2024
EURUSD,2024-10-29 04:00:00+00:00,1,1.7,0.391,7.4,1.701,1,5,,,,-1.46,-6.35,2024
EURUSD,2024-10-31 13:45:00+00:00,1,11.5,1.292,1.3,0.146,2,0,1.0,2.0,2.0,0.787,7.0,2024
EURUSD,2024-12-06 11:00:00+00:00,1,1.0,0.114,11.2,1.275,0,2,,,,-1.205,-10.59,2024
EURUSD,2024-12-06 11:45:00+00:00,1,50.1,4.634,8.1,0.749,15,1,5.0,8.0,15.0,0.824,8.91,2024
EURUSD,2024-12-16 22:00:00+00:00,1,10.9,1.011,4.2,0.39,18,8,15.0,16.0,18.0,0.814,8.78,2024
EURUSD,2024-12-26 20:00:00+00:00,1,12.5,1.244,0.6,0.06,0,0,0.0,0.0,0.0,0.801,8.05,2024
EURUSD,2024-12-30 01:00:00+00:00,1,4.0,0.664,10.0,1.661,0,16,0.0,,,-1.432,-8.62,2024
EURUSD,2025-01-09 09:30:00+00:00,-1,9.9,1.232,0.8,0.1,0,0,0.0,0.0,0.0,0.788,6.34,2025
EURUSD,2025-01-09 21:15:00+00:00,-1,6.2,0.86,5.9,0.818,21,25,11.0,20.0,,-0.458,-3.3,2025
EURUSD,2025-01-13 02:15:00+00:00,-1,8.4,0.954,8.1,0.92,11,4,2.0,11.0,,0.796,7.01,2025
EURUSD,2025-01-14 11:45:00+00:00,1,2.1,0.149,20.9,1.485,0,9,,,,-1.156,-16.28,2025
EURUSD,2025-02-11 10:00:00+00:00,-1,2.8,0.521,6.1,1.134,0,1,0.0,,,-1.353,-7.28,2025
EURUSD,2025-03-04 09:00:00+00:00,1,8.4,0.911,6.3,0.683,2,1,0.0,1.0,,0.74,6.82,2025
EURUSD,2025-03-06 10:45:00+00:00,1,7.3,0.376,23.4,1.207,0,2,,,,-1.103,-21.39,2025
EURUSD,2025-03-10 17:00:00+00:00,1,2.2,0.141,18.1,1.161,0,1,,,,-1.128,-17.59,2025
EURUSD,2025-03-12 13:30:00+00:00,1,1.0,0.075,19.6,1.468,0,2,,,,-1.135,-15.15,2025
EURUSD,2025-03-12 19:15:00+00:00,1,5.3,0.321,29.1,1.76,1,5,,,,-1.103,-18.23,2025
EURUSD,2025-03-13 09:30:00+00:00,-1,15.4,1.489,1.6,0.155,0,0,0.0,0.0,0.0,0.836,8.64,2025
EURUSD,2025-03-21 03:00:00+00:00,-1,3.9,0.897,0.7,0.161,0,0,0.0,0.0,,0.563,2.45,2025
EURUSD,2025-04-02 09:30:00+00:00,-1,8.9,1.579,2.7,0.479,2,2,0.0,2.0,2.0,0.716,4.04,2025
EURUSD,2025-04-18 10:15:00+00:00,1,9.8,1.09,6.4,0.712,17,5,17.0,17.0,17.0,0.789,7.09,2025
EURUSD,2025-05-02 03:15:00+00:00,-1,7.5,1.034,1.1,0.152,0,0,0.0,0.0,0.0,0.738,5.35,2025
EURUSD,2025-05-07 10:45:00+00:00,1,13.0,1.025,6.8,0.536,3,1,2.0,3.0,3.0,0.842,10.69,2025
EURUSD,2025-05-12 09:45:00+00:00,-1,60.4,5.273,5.7,0.498,1,0,1.0,1.0,1.0,0.834,9.55,2025
EURUSD,2025-05-14 08:45:00+00:00,1,18.7,1.929,10.1,1.042,7,1,2.0,3.0,7.0,0.804,7.8,2025
EURUSD,2025-05-21 18:45:00+00:00,1,22.6,1.279,7.5,0.424,6,0,1.0,6.0,6.0,0.892,15.77,2025
EURUSD,2025-05-27 05:15:00+00:00,1,1.4,0.161,10.5,1.204,0,2,,,,-1.229,-10.72,2025
EURUSD,2025-06-06 04:30:00+00:00,1,0.0,0.0,7.65,1.178,0,0,,,,-1.308,-8.49,2025
EURUSD,2025-06-23 11:15:00+00:00,-1,13.9,0.947,4.0,0.273,2,0,2.0,2.0,,0.857,12.58,2025
EURUSD,2025-06-24 10:15:00+00:00,1,1.6,0.123,26.9,2.063,0,1,,,,-1.138,-14.84,2025
EURUSD,2025-06-24 15:45:00+00:00,1,0.2,0.016,16.7,1.318,0,1,,,,-1.15,-14.57,2025
EURUSD,2025-06-30 12:00:00+00:00,1,3.3,0.215,18.2,1.185,1,13,,,,-1.104,-16.95,2025
EURUSD,2025-07-01 11:00:00+00:00,1,0.2,0.019,9.9,0.939,0,0,,,,-0.991,-10.44,2025
EURUSD,2025-07-29 08:45:00+00:00,-1,9.7,1.147,1.0,0.118,1,1,0.0,0.0,1.0,0.775,6.55,2025
EURUSD,2025-08-06 09:00:00+00:00,1,7.2,1.021,2.6,0.369,1,0,0.0,1.0,1.0,0.787,5.55,2025
EURUSD,2025-08-13 23:45:00+00:00,1,0.0,0.0,9.45,1.374,0,2,,,,-1.334,-9.18,2025
EURUSD,2025-08-15 22:00:00+00:00,1,7.35,1.047,5.35,0.762,8,6,4.0,8.0,8.0,0.687,4.82,2025
EURUSD,2025-09-19 10:45:00+00:00,-1,12.5,0.971,8.3,0.645,1,0,1.0,1.0,,0.86,11.07,2025
EURUSD,2025-10-17 05:15:00+00:00,1,8.5,1.114,1.4,0.184,1,0,0.0,1.0,1.0,0.777,5.93,2025
EURUSD,2025-10-31 05:00:00+00:00,-1,6.9,0.976,6.2,0.877,15,13,15.0,15.0,,0.731,5.17,2025
EURUSD,2025-11-05 20:30:00+00:00,-1,2.3,0.208,11.9,1.078,1,11,,,,-1.181,-13.04,2025
EURUSD,2025-11-18 14:00:00+00:00,-1,1.0,0.115,11.4,1.312,0,4,,,,-1.219,-10.59,2025
EURUSD,2025-12-02 16:00:00+00:00,1,5.0,0.685,15.8,2.165,0,4,0.0,,,-1.26,-9.2,2025
EURUSD,2025-12-05 20:45:00+00:00,-1,9.2,0.886,11.1,1.069,13,28,13.0,13.0,,-1.183,-12.28,2025
EURUSD,2025-12-10 21:15:00+00:00,1,11.2,0.985,23.0,2.023,1,1,1.0,1.0,,-1.176,-13.37,2025
EURUSD,2025-12-12 08:00:00+00:00,1,4.0,0.773,11.4,2.203,6,11,0.0,6.0,,-1.348,-6.98,2025
EURUSD,2025-12-15 01:45:00+00:00,1,0.2,0.03,8.1,1.217,0,1,,,,-1.286,-8.55,2025
EURUSD,2025-12-16 09:45:00+00:00,1,6.8,1.175,3.5,0.605,1,0,1.0,1.0,1.0,0.672,3.89,2025
EURUSD,2025-12-16 16:00:00+00:00,1,23.9,1.812,7.5,0.569,3,1,1.0,2.0,3.0,0.856,11.29,2025
EURUSD,2025-12-18 08:45:00+00:00,1,4.4,0.997,2.1,0.476,1,1,1.0,1.0,,0.57,2.51,2025
EURUSD,2025-12-19 10:30:00+00:00,-1,8.5,1.114,6.7,0.878,19,3,18.0,19.0,19.0,0.751,5.73,2025
EURUSD,2026-01-08 18:00:00+00:00,-1,13.4,1.407,1.7,0.178,1,0,0.0,0.0,1.0,0.801,7.63,2026
EURUSD,2026-01-09 11:15:00+00:00,-1,7.1,0.941,1.5,0.199,3,0,0.0,3.0,,0.722,5.44,2026
EURUSD,2026-01-13 13:15:00+00:00,1,3.1,0.418,14.3,1.929,1,6,,,,-1.256,-9.31,2026
EURUSD,2026-01-14 01:45:00+00:00,-1,4.7,1.306,1.3,0.361,1,0,1.0,1.0,1.0,0.472,1.7,2026
EURUSD,2026-01-22 07:45:00+00:00,-1,1.9,0.337,6.8,1.207,4,7,,,,-1.337,-7.54,2026
EURUSD,2026-02-03 15:00:00+00:00,-1,15.8,1.52,10.9,1.049,4,1,4.0,4.0,4.0,0.817,8.49,2026
EURUSD,2026-02-10 01:00:00+00:00,1,1.0,0.156,9.8,1.527,0,1,,,,-1.452,-9.32,2026
EURUSD,2026-02-12 21:45:00+00:00,-1,1.6,0.13,8.9,0.723,22,21,,,,-0.301,-3.7,2026
EURUSD,2026-02-16 03:45:00+00:00,-1,3.8,0.591,7.2,1.12,16,25,16.0,,,-1.296,-8.33,2026
EURUSD,2026-02-27 14:30:00+00:00,1,1.4,0.157,15.7,1.759,0,4,,,,-1.213,-10.82,2026
EURUSD,2026-03-26 09:30:00+00:00,-1,10.6,1.102,2.0,0.208,2,0,0.0,1.0,2.0,0.803,7.72,2026
EURUSD,2026-04-01 05:45:00+00:00,1,22.8,2.149,8.2,0.773,14,4,10.0,11.0,14.0,0.821,8.71,2026
EURUSD,2026-04-13 18:45:00+00:00,1,16.8,1.341,3.1,0.248,3,1,1.0,3.0,3.0,0.888,11.13,2026
EURUSD,2026-04-15 02:00:00+00:00,1,6.0,1.223,1.8,0.367,2,0,2.0,2.0,2.0,0.613,3.01,2026
EURUSD,2026-04-22 04:15:00+00:00,-1,1.5,0.227,7.3,1.102,0,1,,,,-1.227,-8.12,2026
EURUSD,2026-05-12 15:00:00+00:00,-1,10.3,1.119,6.8,0.739,5,4,0.0,2.0,5.0,0.794,7.3,2026
EURUSD,2026-05-13 20:00:00+00:00,-1,5.1,0.533,10.2,1.066,4,21,4.0,,,-1.199,-11.47,2026
EURUSD,2026-05-21 03:15:00+00:00,1,8.1,1.454,4.2,0.754,3,0,3.0,3.0,3.0,0.659,3.67,2026
EURUSD,2026-06-03 23:45:00+00:00,-1,3.1,0.806,14.7,3.822,6,8,5.0,6.0,,-1.494,-5.75,2026
EURUSD,2026-06-08 10:30:00+00:00,-1,12.1,1.132,3.7,0.346,4,0,1.0,2.0,4.0,0.822,8.79,2026
EURUSD,2026-06-12 14:45:00+00:00,1,0.0,0.0,13.4,1.088,0,1,,,,-1.154,-14.21,2026
EURUSD,2026-06-23 09:45:00+00:00,-1,2.8,0.388,14.2,1.969,0,1,,,,-1.263,-9.11,2026
EURUSD,2026-08-05 16:15:00+00:00,1,9.1,1.112,6.7,0.818,3,2,0.0,0.0,3.0,0.768,6.29,2026
EURUSD,2026-08-07 09:00:00+00:00,-1,4.0,1.138,3.4,0.967,4,1,4.0,4.0,4.0,0.459,1.61,2026
EURUSD,2026-08-21 14:15:00+00:00,1,5.1,0.559,10.1,1.108,0,4,0.0,,,-1.219,-11.12,2026
GBPUSD,2023-01-24 03:15:00+00:00,1,10.0,1.046,9.7,1.015,17,11,1.0,17.0,17.0,0.697,6.66,2023
GBPUSD,2023-01-27 16:15:00+00:00,-1,8.3,0.419,21.9,1.105,0,1,,,,-1.156,-22.91,2023
GBPUSD,2023-01-31 23:30:00+00:00,-1,17.2,1.895,1.2,0.132,2,0,1.0,2.0,2.0,0.675,6.13,2023
GBPUSD,2023-02-02 09:15:00+00:00,1,0.0,0.0,16.5,1.638,0,1,,,,-1.278,-12.87,2023
GBPUSD,2023-02-13 04:30:00+00:00,-1,7.1,0.642,13.3,1.203,0,16,0.0,,,-1.262,-13.96,2023
GBPUSD,2023-02-13 11:00:00+00:00,-1,3.1,0.244,15.3,1.206,0,1,,,,-1.213,-15.39,2023
GBPUSD,2023-02-14 22:45:00+00:00,1,3.7,0.243,22.5,1.477,17,21,,,,-1.164,-17.74,2023
GBPUSD,2023-02-20 18:30:00+00:00,1,9.0,0.807,9.8,0.879,28,30,1.0,27.0,,-0.108,-1.2,2023
GBPUSD,2023-02-22 04:30:00+00:00,1,6.0,0.529,12.7,1.12,2,9,2.0,,,-1.238,-14.04,2023
GBPUSD,2023-03-20 04:45:00+00:00,1,1.2,0.089,15.3,1.135,0,2,,,,-1.2,-16.18,2023
GBPUSD,2023-04-17 03:45:00+00:00,-1,14.4,1.755,1.5,0.183,0,0,0.0,0.0,0.0,0.683,5.61,2023
GBPUSD,2023-04-18 22:45:00+00:00,1,0.0,0.0,9.4,1.358,0,5,,,,-1.549,-10.72,2023
GBPUSD,2023-04-20 01:45:00+00:00,1,0.0,0.0,10.2,2.102,0,0,,,,-1.556,-7.55,2023
GBPUSD,2023-04-20 10:15:00+00:00,1,1.5,0.151,15.4,1.554,0,0,,,,-1.272,-12.61,2023
GBPUSD,2023-04-20 11:15:00+00:00,1,12.4,0.845,17.2,1.173,0,3,0.0,0.0,,-1.198,-17.57,2023
GBPUSD,2023-05-10 17:00:00+00:00,1,14.7,0.635,31.7,1.37,1,3,1.0,,,-1.121,-25.94,2023
GBPUSD,2023-05-12 17:15:00+00:00,-1,23.9,1.293,8.6,0.465,2,0,2.0,2.0,2.0,0.859,15.88,2023
GBPUSD,2023-05-25 02:30:00+00:00,-1,6.7,0.909,6.1,0.828,4,1,2.0,4.0,,0.634,4.67,2023
GBPUSD,2023-06-14 03:45:00+00:00,1,5.9,1.063,3.8,0.685,2,0,1.0,2.0,2.0,0.495,2.75,2023
GBPUSD,2023-06-14 10:30:00+00:00,1,17.8,1.611,5.1,0.462,3,0,1.0,1.0,3.0,0.765,8.45,2023
GBPUSD,2023-06-23 16:45:00+00:00,-1,25.5,1.534,14.4,0.867,9,1,0.0,2.0,8.0,0.982,16.32,2023
GBPUSD,2023-07-04 10:45:00+00:00,1,13.9,1.164,5.1,0.427,10,0,6.0,7.0,10.0,0.766,9.15,2023
GBPUSD,2023-07-07 15:30:00+00:00,1,13.9,0.817,22.8,1.34,0,0,0.0,0.0,,-1.253,-21.31,2023
GBPUSD,2023-07-07 16:30:00+00:00,1,24.2,0.988,1.0,0.041,1,0,0.0,0.0,,0.886,21.69,2023
GBPUSD,2023-07-13 04:30:00+00:00,1,5.5,0.857,2.4,0.374,1,0,1.0,1.0,,0.579,3.72,2023
GBPUSD,2023-07-26 15:30:00+00:00,1,15.8,1.029,8.1,0.528,6,2,4.0,4.0,6.0,0.831,12.75,2023
GBPUSD,2023-08-10 01:00:00+00:00,-1,6.3,0.923,3.7,0.542,10,6,10.0,10.0,,0.619,4.23,2023
GBPUSD,2023-08-25 23:15:00+00:00,-1,15.0,1.313,2.1,0.184,3,0,1.0,2.0,3.0,0.326,3.72,2023
GBPUSD,2023-09-05 21:00:00+00:00,-1,15.8,1.16,8.1,0.595,12,1,12.0,12.0,12.0,0.732,9.97,2023
GBPUSD,2023-09-07 21:30:00+00:00,-1,9.7,0.803,18.2,1.506,11,24,5.0,11.0,,-1.223,-14.79,2023
GBPUSD,2023-09-08 15:15:00+00:00,-1,2.2,0.159,17.0,1.225,0,1,,,,-1.195,-16.58,2023
GBPUSD,2023-09-19 09:15:00+00:00,-1,7.1,1.299,1.2,0.22,0,0,0.0,0.0,0.0,0.488,2.66,2023
GBPUSD,2023-09-25 09:30:00+00:00,-1,0.6,0.109,10.3,1.874,0,1,,,,-1.491,-8.2,2023
GBPUSD,2023-09-27 11:15:00+00:00,-1,0.5,0.048,13.0,1.237,0,0,,,,-1.266,-13.31,2023
GBPUSD,2023-09-27 20:15:00+00:00,-1,11.7,0.597,30.9,1.578,1,7,0.0,,,-1.138,-22.29,2023
GBPUSD,2023-10-12 03:45:00+00:00,1,5.1,1.089,4.2,0.897,2,0,1.0,2.0,2.0,0.423,1.98,2023
GBPUSD,2023-11-08 01:15:00+00:00,-1,10.15,1.18,1.35,0.157,7,4,3.0,5.0,7.0,0.692,5.95,2023
GBPUSD,2023-11-14 11:15:00+00:00,1,10.8,0.954,2.2,0.194,1,1,1.0,1.0,,0.726,8.22,2023
GBPUSD,2023-11-24 01:15:00+00:00,1,9.25,1.72,3.85,0.716,6,2,5.0,6.0,6.0,0.34,1.83,2023
GBPUSD,2023-11-27 10:15:00+00:00,1,0.0,0.0,15.2,1.486,0,1,,,,-1.264,-12.93,2023
GBPUSD,2023-12-05 10:45:00+00:00,-1,1.5,0.129,16.4,1.413,0,3,,,,-1.233,-14.3,2023
GBPUSD,2023-12-11 08:00:00+00:00,-1,3.7,0.842,4.9,1.115,3,1,3.0,3.0,,0.363,1.59,2023
GBPUSD,2023-12-18 15:00:00+00:00,-1,16.8,1.119,15.2,1.013,10,3,8.0,8.0,10.0,0.82,12.31,2023
GBPUSD,2023-12-27 09:15:00+00:00,1,0.0,0.0,7.7,1.393,0,1,,,,-1.488,-8.23,2023
GBPUSD,2023-12-29 04:15:00+00:00,-1,2.2,0.257,10.3,1.202,4,9,,,,-1.315,-11.27,2023
GBPUSD,2024-01-05 15:00:00+00:00,-1,49.7,4.101,10.4,0.858,2,1,2.0,2.0,2.0,0.777,9.42,2024
GBPUSD,2024-01-10 07:00:00+00:00,-1,6.5,1.008,3.2,0.496,4,1,4.0,4.0,4.0,0.597,3.85,2024
GBPUSD,2024-01-18 10:45:00+00:00,1,2.2,0.166,16.1,1.218,0,1,,,,-1.204,-15.92,2024
GBPUSD,2024-02-05 11:45:00+00:00,-1,20.5,1.588,6.4,0.496,1,0,1.0,1.0,1.0,0.791,10.21,2024
GBPUSD,2024-02-06 05:45:00+00:00,-1,0.1,0.016,11.7,1.863,0,2,,,,-1.414,-8.88,2024
GBPUSD,2024-02-08 02:15:00+00:00,1,6.5,0.955,2.1,0.309,3,0,1.0,3.0,,0.603,4.1,2024
GBPUSD,2024-02-28 00:45:00+00:00,1,0.0,0.0,10.4,1.599,0,5,,,,-1.569,-10.2,2024
GBPUSD,2024-03-01 23:30:00+00:00,1,0.35,0.046,9.65,1.256,0,1,,,,-1.371,-10.53,2024
GBPUSD,2024-03-07 15:15:00+00:00,1,9.0,0.947,8.3,0.873,1,0,1.0,1.0,,0.726,6.9,2024
GBPUSD,2024-04-04 09:45:00+00:00,1,0.0,0.0,9.9,1.777,0,0,,,,-1.485,-8.27,2024
GBPUSD,2024-04-04 10:15:00+00:00,1,10.1,1.433,1.9,0.27,1,0,0.0,1.0,1.0,0.617,4.35,2024
GBPUSD,2024-05-14 00:00:00+00:00,1,2.1,0.408,3.0,0.583,0,0,,,,-0.922,-4.74,2024
GBPUSD,2024-05-20 19:00:00+00:00,1,8.3,0.919,1.4,0.155,1,0,1.0,1.0,,0.712,6.43,2024
GBPUSD,2024-05-21 16:45:00+00:00,1,12.4,1.185,6.4,0.611,4,1,1.0,2.0,4.0,0.742,7.77,2024
GBPUSD,2024-05-27 15:45:00+00:00,1,8.4,1.193,1.1,0.156,1,0,0.0,0.0,1.0,0.631,4.44,2024
GBPUSD,2024-06-03 05:30:00+00:00,1,1.0,0.178,7.4,1.316,1,4,,,,-1.498,-8.43,2024
GBPUSD,2024-06-17 03:15:00+00:00,-1,17.4,2.506,7.0,1.008,23,1,5.0,22.0,23.0,0.611,4.24,2024
GBPUSD,2024-06-17 10:45:00+00:00,-1,1.1,0.12,15.5,1.694,0,1,,,,-1.295,-11.85,2024
GBPUSD,2024-06-21 03:15:00+00:00,-1,1.3,0.255,8.9,1.745,3,9,,,,-1.529,-7.8,2024
GBPUSD,2024-06-21 09:45:00+00:00,-1,3.5,0.805,3.8,0.874,0,0,0.0,0.0,,0.379,1.65,2024
GBPUSD,2024-07-08 14:15:00+00:00,1,10.5,1.116,1.0,0.106,2,0,0.0,1.0,2.0,0.702,6.61,2024
GBPUSD,2024-07-10 09:15:00+00:00,-1,0.0,0.0,6.3,1.661,0,0,,,,-1.738,-6.59,2024
GBPUSD,2024-07-25 17:15:00+00:00,-1,2.0,0.157,15.5,1.219,0,0,,,,-1.212,-15.42,2024
GBPUSD,2024-08-07 00:45:00+00:00,-1,8.7,0.643,20.2,1.494,8,17,8.0,,,-1.214,-16.42,2024
GBPUSD,2024-08-12 07:00:00+00:00,1,3.4,0.826,1.1,0.267,2,0,1.0,2.0,,0.344,1.41,2024
GBPUSD,2024-09-03 17:00:00+00:00,-1,20.1,1.392,10.0,0.692,0,0,0.0,0.0,0.0,0.695,10.04,2024
GBPUSD,2024-09-03 17:15:00+00:00,-1,13.9,0.823,14.9,0.882,15,26,0.0,0.0,,-0.669,-11.3,2024
GBPUSD,2024-09-04 19:15:00+00:00,1,10.6,0.581,14.9,0.817,3,7,1.0,,,0.049,0.9,2024
GBPUSD,2024-09-05 22:15:00+00:00,1,8.2,0.763,5.7,0.53,6,2,5.0,6.0,,0.223,2.4,2024
GBPUSD,2024-09-30 10:45:00+00:00,1,12.1,1.053,1.4,0.122,1,0,0.0,1.0,1.0,0.782,8.99,2024
GBPUSD,2024-10-01 10:00:00+00:00,-1,23.9,2.196,10.0,0.919,0,0,0.0,0.0,0.0,0.789,8.59,2024
GBPUSD,2024-10-01 10:15:00+00:00,-1,15.3,1.087,14.0,0.994,3,0,1.0,3.0,3.0,0.808,11.38,2024
GBPUSD,2024-10-04 06:45:00+00:00,-1,0.2,0.029,8.0,1.163,0,1,,,,-1.393,-9.58,2024
GBPUSD,2024-10-10 16:30:00+00:00,-1,25.3,1.102,3.1,0.135,0,0,0.0,0.0,0.0,0.904,20.75,2024
GBPUSD,2024-10-16 07:15:00+00:00,1,3.1,0.497,68.7,11.017,5,7,,,,-1.417,-8.84,2024
GBPUSD,2024-11-14 02:15:00+00:00,-1,12.2,1.356,5.8,0.644,5,1,3.0,5.0,5.0,0.678,6.1,2024
GBPUSD,2024-11-18 16:15:00+00:00,-1,2.5,0.213,15.2,1.296,0,1,,,,-1.239,-14.53,2024
GBPUSD,2024-11-21 05:15:00+00:00,-1,0.0,0.0,7.6,1.349,0,1,,,,-1.479,-8.34,2024
GBPUSD,2024-12-30 00:15:00+00:00,1,0.85,0.09,17.95,1.902,0,0,,,,-1.985,-18.74,2024
GBPUSD,2024-12-30 01:00:00+00:00,1,14.7,1.243,1.0,0.085,28,0,0.0,0.0,0.0,1.051,12.43,2024
GBPUSD,2025-01-15 18:00:00+00:00,1,0.3,0.009,72.6,2.261,0,2,,,,-1.081,-34.71,2025
GBPUSD,2025-01-22 06:30:00+00:00,1,4.0,0.435,10.5,1.142,1,3,,,,-1.294,-11.89,2025
GBPUSD,2025-01-28 16:45:00+00:00,-1,10.2,0.727,15.0,1.07,8,3,1.0,,,-0.528,-7.4,2025
GBPUSD,2025-02-05 09:15:00+00:00,1,19.3,1.945,1.1,0.111,0,0,0.0,0.0,0.0,0.698,6.92,2025
GBPUSD,2025-02-10 18:00:00+00:00,-1,14.9,1.187,5.4,0.43,3,0,1.0,3.0,3.0,0.777,9.76,2025
GBPUSD,2025-02-18 11:15:00+00:00,1,2.8,0.194,16.8,1.167,0,4,,,,-1.146,-16.5,2025
GBPUSD,2025-02-24 21:45:00+00:00,-1,14.2,1.183,5.2,0.433,5,2,3.0,4.0,5.0,0.783,9.4,2025
GBPUSD,2025-03-06 10:45:00+00:00,1,6.8,0.35,21.7,1.117,0,1,,,,-1.134,-22.03,2025
GBPUSD,2025-03-12 15:30:00+00:00,1,0.7,0.032,26.2,1.188,0,1,,,,-1.127,-24.85,2025
GBPUSD,2025-03-21 20:00:00+00:00,-1,13.9,0.854,13.6,0.835,12,24,10.0,12.0,,-0.461,-7.5,2025
GBPUSD,2025-04-01 17:30:00+00:00,-1,0.0,0.0,20.5,1.256,0,0,,,,-1.221,-19.92,2025
GBPUSD,2025-04-07 11:15:00+00:00,-1,43.1,1.626,6.7,0.253,4,0,0.0,1.0,4.0,0.887,23.51,2025
GBPUSD,2025-04-07 21:15:00+00:00,-1,38.0,1.284,18.5,0.625,6,1,3.0,6.0,6.0,0.888,26.29,2025
GBPUSD,2025-04-08 03:00:00+00:00,-1,0.0,0.0,15.9,1.56,0,0,,,,-1.304,-13.29,2025
GBPUSD,2025-04-10 06:00:00+00:00,1,14.1,0.94,2.1,0.14,6,0,0.0,0.0,,0.78,11.7,2025
GBPUSD,2025-04-11 20:45:00+00:00,1,0.7,0.025,29.7,1.047,0,0,,,,-1.099,-31.16,2025
GBPUSD,2025-04-15 15:00:00+00:00,1,11.2,0.624,22.1,1.231,1,8,1.0,,,-1.195,-21.46,2025
GBPUSD,2025-04-21 22:15:00+00:00,1,0.0,0.0,16.9,1.56,0,7,,,,-1.383,-14.98,2025
