Pair,EntryTime,Direction,MFE_Pips,MFE_R,MAE_Pips,MAE_R,BarsToMFE,BarsToMAE,BarsTo_0_50R,BarsTo_0_75R,BarsTo_1_00R,FinalPnL_R,FinalPnL_NetPips,Year
GBPUSD,2025-06-06 19:30:00+00:00,-1,9.4,0.43,14.3,0.654,2,28,,,,-0.444,-9.7,2025
GBPUSD,2025-06-16 18:15:00+00:00,1,11.7,0.714,18.0,1.098,7,17,4.0,,,-1.22,-19.99,2025
GBPUSD,2025-07-28 10:30:00+00:00,-1,15.8,1.342,4.2,0.357,1,0,0.0,1.0,1.0,0.728,8.57,2025
GBPUSD,2025-07-29 06:15:00+00:00,-1,7.8,0.924,1.7,0.201,1,0,1.0,1.0,,0.609,5.14,2025
GBPUSD,2025-08-04 09:15:00+00:00,1,5.6,0.546,16.9,1.646,0,0,0.0,,,-1.253,-12.86,2025
GBPUSD,2025-08-08 22:00:00+00:00,1,0.0,0.0,10.4,1.169,0,1,,,,-1.326,-11.79,2025
GBPUSD,2025-08-14 05:15:00+00:00,1,0.0,0.0,8.1,1.345,0,0,,,,-1.548,-9.32,2025
GBPUSD,2025-08-19 07:15:00+00:00,-1,0.4,0.053,11.1,1.457,0,3,,,,-1.446,-11.02,2025
GBPUSD,2025-08-28 15:45:00+00:00,1,1.6,0.144,17.0,1.53,0,0,,,,-1.306,-14.51,2025
GBPUSD,2025-09-04 22:00:00+00:00,-1,0.0,0.0,11.6,1.164,0,3,,,,-1.261,-12.56,2025
GBPUSD,2025-09-08 12:00:00+00:00,1,18.5,1.351,11.7,0.854,7,4,6.0,7.0,7.0,0.803,10.99,2025
GBPUSD,2025-09-17 01:30:00+00:00,1,7.0,0.883,4.9,0.618,6,1,5.0,6.0,,0.659,5.23,2025
GBPUSD,2025-09-19 02:00:00+00:00,-1,8.1,1.145,5.9,0.834,4,3,4.0,4.0,4.0,0.703,4.97,2025
GBPUSD,2025-09-23 17:15:00+00:00,1,5.7,0.393,19.3,1.33,22,27,,,,-1.424,-20.66,2025
GBPUSD,2025-09-30 21:15:00+00:00,1,0.0,0.0,15.2,1.114,0,8,,,,-1.198,-16.34,2025
GBPUSD,2025-10-07 07:15:00+00:00,1,0.8,0.118,12.0,1.769,0,2,,,,-1.398,-9.48,2025
GBPUSD,2025-10-17 10:00:00+00:00,1,1.9,0.184,18.9,1.832,0,0,,,,-1.242,-12.82,2025
GBPUSD,2025-10-21 23:00:00+00:00,-1,9.4,1.203,1.0,0.128,4,0,1.0,4.0,4.0,0.251,1.96,2025
