Pair,Strategy,Factor,Bucket,Trades,WinRate%,Exp(R),PF,Stable_Years%,Valid_Sample,Yearly_Exp_R
GBPUSD,TF_PB,vol_regime,CONTRACTION,98,31.63,-0.497,0.49,0.0,True,"{np.int64(2023): -0.452, np.int64(2024): -0.433, np.int64(2025): -0.812, np.int64(2026): -0.353}"
GBPUSD,TF_PB,combined_regime,STRONG_BEAR__EXPANSION,2,100.0,1.836,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,TF_PB,combined_regime,WEAK_BULL__HIGH_VOL,4,100.0,1.75,99.0,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,TF_PB,combined_regime,WEAK_BEAR__HIGH_VOL,8,62.5,0.752,5.84,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,TF_PB,combined_regime,STRONG_BEAR__HIGH_VOL,16,56.25,0.332,1.39,100.0,False,"{np.int64(2023): None, np.int64(2024): 1.022, np.int64(2025): 0.059, np.int64(2026): None}"
GBPUSD,TF_PB,combined_regime,STRONG_BEAR__CONTRACTION,21,47.62,-0.037,0.98,50.0,False,"{np.int64(2023): None, np.int64(2024): -0.275, np.int64(2025): None, np.int64(2026): 0.35}"
GBPUSD,TF_PB,combined_regime,STRONG_BULL__CONTRACTION,29,44.83,-0.105,0.75,33.3,True,"{np.int64(2023): -0.285, np.int64(2024): 0.545, np.int64(2025): None, np.int64(2026): -0.277}"
GBPUSD,TF_PB,combined_regime,STRONG_BULL__NORMAL_VOL,78,37.18,-0.121,0.75,25.0,True,"{np.int64(2023): -0.092, np.int64(2024): 0.118, np.int64(2025): -0.081, np.int64(2026): -0.891}"
GBPUSD,TF_PB,combined_regime,WEAK_BULL__NORMAL_VOL,44,36.36,-0.124,0.8,50.0,True,"{np.int64(2023): 0.029, np.int64(2024): 0.138, np.int64(2025): -0.382, np.int64(2026): -0.212}"
GBPUSD,TF_PB,combined_regime,STRONG_BEAR__NORMAL_VOL,80,35.0,-0.194,0.83,50.0,True,"{np.int64(2023): 0.106, np.int64(2024): 0.026, np.int64(2025): -0.807, np.int64(2026): -0.053}"
GBPUSD,TF_PB,combined_regime,WEAK_BEAR__LOW_VOL,65,35.38,-0.251,0.66,0.0,True,"{np.int64(2023): -0.175, np.int64(2024): -0.382, np.int64(2025): -0.252, np.int64(2026): -0.194}"
GBPUSD,TF_PB,combined_regime,WEAK_BULL__LOW_VOL,90,34.44,-0.262,0.75,0.0,True,"{np.int64(2023): -0.341, np.int64(2024): -0.009, np.int64(2025): -0.161, np.int64(2026): -0.685}"
GBPUSD,TF_PB,combined_regime,WEAK_BEAR__NORMAL_VOL,46,30.43,-0.327,0.71,25.0,True,"{np.int64(2023): -0.612, np.int64(2024): -0.587, np.int64(2025): -0.305, np.int64(2026): 0.454}"
GBPUSD,TF_PB,combined_regime,STRONG_BULL__LOW_VOL,85,31.76,-0.378,0.6,0.0,True,"{np.int64(2023): -0.372, np.int64(2024): -0.327, np.int64(2025): -0.561, np.int64(2026): -0.159}"
GBPUSD,TF_PB,combined_regime,STRONG_BULL__HIGH_VOL,17,23.53,-0.444,0.49,50.0,False,"{np.int64(2023): 0.683, np.int64(2024): -1.174, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,TF_PB,combined_regime,STRONG_BEAR__LOW_VOL,66,28.79,-0.472,0.63,0.0,True,"{np.int64(2023): -0.713, np.int64(2024): -0.448, np.int64(2025): -0.327, np.int64(2026): -0.492}"
GBPUSD,TF_PB,combined_regime,WEAK_BULL__CONTRACTION,24,16.67,-0.924,0.23,0.0,False,"{np.int64(2023): -0.379, np.int64(2024): -1.059, np.int64(2025): -0.932, np.int64(2026): -1.405}"
GBPUSD,TF_PB,combined_regime,WEAK_BEAR__CONTRACTION,24,16.67,-0.945,0.26,0.0,False,"{np.int64(2023): -1.022, np.int64(2024): -1.034, np.int64(2025): -0.996, np.int64(2026): None}"
GBPUSD,TF_PB,session,NY_LATE,19,47.37,0.25,1.6,100.0,False,"{np.int64(2023): 0.14, np.int64(2024): None, np.int64(2025): 0.817, np.int64(2026): None}"
GBPUSD,TF_PB,session,OVERLAP,267,36.33,-0.15,0.83,0.0,True,"{np.int64(2023): -0.007, np.int64(2024): -0.095, np.int64(2025): -0.321, np.int64(2026): -0.164}"
GBPUSD,TF_PB,session,LONDON,413,32.93,-0.357,0.66,0.0,True,"{np.int64(2023): -0.385, np.int64(2024): -0.264, np.int64(2025): -0.46, np.int64(2026): -0.283}"
GBPUSD,TF_PB,day_of_week,Monday,133,36.84,-0.191,0.9,25.0,True,"{np.int64(2023): -0.141, np.int64(2024): 0.043, np.int64(2025): -0.248, np.int64(2026): -0.527}"
GBPUSD,TF_PB,day_of_week,Tuesday,137,36.5,-0.203,0.9,25.0,True,"{np.int64(2023): 0.005, np.int64(2024): -0.25, np.int64(2025): -0.333, np.int64(2026): -0.187}"
GBPUSD,TF_PB,day_of_week,Thursday,159,33.33,-0.281,0.77,0.0,True,"{np.int64(2023): -0.17, np.int64(2024): -0.277, np.int64(2025): -0.512, np.int64(2026): -0.127}"
GBPUSD,TF_PB,day_of_week,Wednesday,136,34.56,-0.282,0.77,0.0,True,"{np.int64(2023): -0.625, np.int64(2024): -0.312, np.int64(2025): -0.16, np.int64(2026): -0.005}"
GBPUSD,TF_PB,day_of_week,Friday,134,32.09,-0.347,0.55,0.0,True,"{np.int64(2023): -0.246, np.int64(2024): -0.125, np.int64(2025): -0.619, np.int64(2026): -0.542}"
GBPUSD,TF_PB,spread_bucket,Medium (1.0-1.5p),611,34.86,-0.255,0.78,0.0,True,"{np.int64(2023): -0.231, np.int64(2024): -0.183, np.int64(2025): -0.423, np.int64(2026): -0.249}"
GBPUSD,TF_PB,spread_bucket,High (>1.5p),88,32.95,-0.304,0.73,0.0,True,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): -0.304, np.int64(2026): None}"
GBPUSD,TF_PB,htf_alignment,ALIGNED,469,35.61,-0.227,0.81,0.0,True,"{np.int64(2023): -0.268, np.int64(2024): -0.148, np.int64(2025): -0.363, np.int64(2026): -0.063}"
GBPUSD,TF_PB,htf_alignment,NEUTRAL,230,32.61,-0.332,0.68,0.0,True,"{np.int64(2023): -0.143, np.int64(2024): -0.266, np.int64(2025): -0.388, np.int64(2026): -0.526}"
